Series ID,Year,Period,Label,Value
LNS12000060,2024,M01,2024 Jan,103473
LNS12000060,2024,M02,2024 Feb,103700
LNS12000060,2024,M03,2024 Mar,103641
LNS12000060,2024,M04,2024 Apr,103775
LNS12000060,2024,M05,2024 May,103916
LNS12000060,2024,M06,2024 Jun,103835
LNS12000060,2024,M07,2024 Jul,104134
LNS12000060,2024,M08,2024 Aug,104101
LNS12000060,2024,M09,2024 Sep,104164
LNS12000060,2024,M10,2024 Oct,103808
LNS12000060,2024,M11,2024 Nov,103652
LNS12000060,2024,M12,2024 Dec,103772
LNS12000060,2025,M01,2025 Jan,105496
LNS12000060,2025,M02,2025 Feb,105380
LNS12000060,2025,M03,2025 Mar,105292
LNS12000060,2025,M04,2025 Apr,105593
LNS12000060,2025,M05,2025 May,105411
LNS12000060,2025,M06,2025 Jun,105837
LNS12000060,2025,M07,2025 Jul,105453
LNS12000060,2025,M08,2025 Aug,105868
LNS12000060,2025,M09,2025 Sep,105879
LNS12000060,2025,M10,2025 Oct,-
LNS12000060,2025,M11,2025 Nov,105852
LNS12000060,2025,M12,2025 Dec,106087
LNS12000060,2026,M01,2026 Jan,105063
LNS12000060,2026,M02,2026 Feb,104909
LNS12000060,2026,M03,2026 Mar,105007
