Series ID,Year,Period,Label,Value
LNS11300001,2024,M01,2024 Jan,67.9
LNS11300001,2024,M02,2024 Feb,67.8
LNS11300001,2024,M03,2024 Mar,68.1
LNS11300001,2024,M04,2024 Apr,67.9
LNS11300001,2024,M05,2024 May,67.8
LNS11300001,2024,M06,2024 Jun,68.1
LNS11300001,2024,M07,2024 Jul,68.1
LNS11300001,2024,M08,2024 Aug,67.8
LNS11300001,2024,M09,2024 Sep,68.1
LNS11300001,2024,M10,2024 Oct,68.1
LNS11300001,2024,M11,2024 Nov,67.9
LNS11300001,2024,M12,2024 Dec,67.9
LNS11300001,2025,M01,2025 Jan,68
LNS11300001,2025,M02,2025 Feb,67.7
LNS11300001,2025,M03,2025 Mar,67.8
LNS11300001,2025,M04,2025 Apr,68
LNS11300001,2025,M05,2025 May,67.8
LNS11300001,2025,M06,2025 Jun,67.8
LNS11300001,2025,M07,2025 Jul,67.7
LNS11300001,2025,M08,2025 Aug,67.9
LNS11300001,2025,M09,2025 Sep,67.8
LNS11300001,2025,M10,2025 Oct,-
LNS11300001,2025,M11,2025 Nov,67.7
LNS11300001,2025,M12,2025 Dec,67.7
LNS11300001,2026,M01,2026 Jan,67.3
LNS11300001,2026,M02,2026 Feb,67.2
LNS11300001,2026,M03,2026 Mar,67
