Series ID,Year,Period,Label,Value
LNS11300002,2024,M01,2024 Jan,57.4
LNS11300002,2024,M02,2024 Feb,57.6
LNS11300002,2024,M03,2024 Mar,57.6
LNS11300002,2024,M04,2024 Apr,57.7
LNS11300002,2024,M05,2024 May,57.6
LNS11300002,2024,M06,2024 Jun,57.4
LNS11300002,2024,M07,2024 Jul,57.5
LNS11300002,2024,M08,2024 Aug,57.8
LNS11300002,2024,M09,2024 Sep,57.5
LNS11300002,2024,M10,2024 Oct,57.3
LNS11300002,2024,M11,2024 Nov,57.3
LNS11300002,2024,M12,2024 Dec,57.3
LNS11300002,2025,M01,2025 Jan,57.5
LNS11300002,2025,M02,2025 Feb,57.5
LNS11300002,2025,M03,2025 Mar,57.4
LNS11300002,2025,M04,2025 Apr,57.5
LNS11300002,2025,M05,2025 May,57.2
LNS11300002,2025,M06,2025 Jun,57
LNS11300002,2025,M07,2025 Jul,57.1
LNS11300002,2025,M08,2025 Aug,57
LNS11300002,2025,M09,2025 Sep,57.4
LNS11300002,2025,M10,2025 Oct,-
LNS11300002,2025,M11,2025 Nov,57.4
LNS11300002,2025,M12,2025 Dec,57.3
LNS11300002,2026,M01,2026 Jan,57.2
LNS11300002,2026,M02,2026 Feb,57.2
LNS11300002,2026,M03,2026 Mar,57.1
