Series ID,Year,Period,Label,Value
LNS12000001,2024,M01,2024 Jan,85037
LNS12000001,2024,M02,2024 Feb,85118
LNS12000001,2024,M03,2024 Mar,85497
LNS12000001,2024,M04,2024 Apr,85198
LNS12000001,2024,M05,2024 May,84979
LNS12000001,2024,M06,2024 Jun,85443
LNS12000001,2024,M07,2024 Jul,85394
LNS12000001,2024,M08,2024 Aug,85032
LNS12000001,2024,M09,2024 Sep,85562
LNS12000001,2024,M10,2024 Oct,85590
LNS12000001,2024,M11,2024 Nov,85329
LNS12000001,2024,M12,2024 Dec,85593
LNS12000001,2025,M01,2025 Jan,86700
LNS12000001,2025,M02,2025 Feb,86269
LNS12000001,2025,M03,2025 Mar,86457
LNS12000001,2025,M04,2025 Apr,86691
LNS12000001,2025,M05,2025 May,86473
LNS12000001,2025,M06,2025 Jun,86558
LNS12000001,2025,M07,2025 Jul,86375
LNS12000001,2025,M08,2025 Aug,86834
LNS12000001,2025,M09,2025 Sep,86652
LNS12000001,2025,M10,2025 Oct,-
LNS12000001,2025,M11,2025 Nov,86616
LNS12000001,2025,M12,2025 Dec,86812
LNS12000001,2026,M01,2026 Jan,85348
LNS12000001,2026,M02,2026 Feb,85210
LNS12000001,2026,M03,2026 Mar,85111
LNS12000002Q,2024,Q01,2024 Qtr1,76009
LNS12000002Q,2024,Q02,2024 Qtr2,76050
LNS12000002Q,2024,Q03,2024 Qtr3,76183
LNS12000002Q,2024,Q04,2024 Qtr4,75892
LNS12000002Q,2025,Q01,2025 Qtr1,77084
LNS12000002Q,2025,Q02,2025 Qtr2,76916
LNS12000002Q,2025,Q03,2025 Qtr3,76769
LNS12000002Q,2025,Q04,2025 Qtr4,-
LNS12000002Q,2026,Q01,2026 Qtr1,77730
