Series ID,Year,Period,Label,Value
LNS12000002,2024,M01,2024 Jan,76096
LNS12000002,2024,M02,2024 Feb,75965
LNS12000002,2024,M03,2024 Mar,75965
LNS12000002,2024,M04,2024 Apr,76239
LNS12000002,2024,M05,2024 May,76201
LNS12000002,2024,M06,2024 Jun,75709
LNS12000002,2024,M07,2024 Jul,75903
LNS12000002,2024,M08,2024 Aug,76396
LNS12000002,2024,M09,2024 Sep,76251
LNS12000002,2024,M10,2024 Oct,75854
LNS12000002,2024,M11,2024 Nov,75830
LNS12000002,2024,M12,2024 Dec,75993
LNS12000002,2025,M01,2025 Jan,77131
LNS12000002,2025,M02,2025 Feb,77068
LNS12000002,2025,M03,2025 Mar,77052
LNS12000002,2025,M04,2025 Apr,77208
LNS12000002,2025,M05,2025 May,76771
LNS12000002,2025,M06,2025 Jun,76769
LNS12000002,2025,M07,2025 Jul,76765
LNS12000002,2025,M08,2025 Aug,76536
LNS12000002,2025,M09,2025 Sep,77004
LNS12000002,2025,M10,2025 Oct,-
LNS12000002,2025,M11,2025 Nov,77144
LNS12000002,2025,M12,2025 Dec,77180
LNS12000002,2026,M01,2026 Jan,77749
LNS12000002,2026,M02,2026 Feb,77702
LNS12000002,2026,M03,2026 Mar,77737
